jokes,labels
"You need to get a life outside of the internet. Go outside, look around. I'm sure trailer parks smell lovely in the morning.",1
There should be confetti in tires so when there is a blow-out it’s still kind of an okay day,0
"The teacher was teaching in animal lesson. Teacher: What does a pig do? Student: it rolls around in mud. Teacher: Good! What does a cow do? Student: It makes milk! Teacher: Great! Now, what does a crazy old monkey give you? Student: Homework!",1
"A wife asked her husband, ""What do you like most in me, my pretty face or my sexy body?"" He looked at her from head to toe and replied, ""I like your sense of humor!""",1
"I've had many cases of love that were just infatuation, but this hate I feel for you is the real thing.",1
“Do you like raisins? How do you feel about a date?”,0
"“Everyone is a complicated human being, and everyone is strong and weak and funny and scared.”",0
"Nobody ever asks how Coca-Cola is doing. It's always, ""Is Pepsi okay?""",0
"We know that you would give your life for us. Promises, promises!",1
I know you're not as stupid as you look. Nobody could be!,1
"Dad: ""Can I see your report card, son?"" Son: ""I don't have it."" Dad: ""Why?"" Son: ""I gave it to my friend. He wanted to scare his parents.""",0
I visited my new friend in his apartment. He told me to make myself at home. So I threw him out. I hate having visitors.,1
"My grandfather gave me some sound advice on his deathbed. He said ""It's worth spending money on a good set of speakers""",0
"Pardon me, but you've obviously mistaken me for someone who gives a damn.",1
What is the difference between an Aggie and a pizza? The pizza doesn't scream when you put it in the oven.,1
Parallel lines have so much in common. It's a shame they'll never meet!,0
What do you call a one-legged woman? Ilene.,1
"There were two muffins in an oven and one said, “It’s getting kind of hot in here isn’t it?”. The other muffin gasps, “Ahh! A talking muffin!”",0
To steal from one is plagiarism. To steal from many is research.,0
I hear the only place you're ever invited is outside.,1
"No wonder newborn babies cry. They've got nothing to eat, no clothes and they already owe the government money.",0
Never put off until tomorrow what you can do the day after tomorrow.,0
"The optimist sees the glass half full. The pessimist sees the glass half empty. The chemist see the glass completely full, half in the liquid state and half in the vapor state.",0
"What do you get when you cross a Mexican with an octopus? I don't know, but it can sure pick lettuce",1
"Act your age, not your shoe size.",1
“Are you a camera? Because I look at you and smile!”,0
Marriage is a relationship where one person is always right and the other is the husband.,0
You know what a clean desk is a sign of? A cluttered desk drawer.,0
"Ever stop to think, and forget to start again?",1
“Don’t look at me in that tone of voice.”,0
"You're so ugly, you had tinted windows on your incubator.",1
"A bear walks into a bar and says, “Give me a gin and … tonic.” “Why the big pause?” asks the bartender. The bear shrugged. “I’m not sure; I was born with them.”",0
"Your sister's teeth are so crooked, Amtrack had to install her braces.",1
“Don’t forget to drink water and get some sun. You’re basically a houseplant with more complicated emotions.”,0
- What do you call 2 gay guys named Bob? Oral Roberts,1
"He doesn't know the meaning of the word fear, but then again he doesn't know the meaning of most words.",1
True friendship: Walking into a persons house and your wifi connects automatically.,0
"You're like one of those ""idiot savants,"" except without the ""savant"" part.",1
Did you hear about the two blind gay guys? You've got to hand it to them.,1
"Instead of being born again, why don't you just grow up?",1
"Friends come and go, like the waves of the ocean… But the true ones stay, like an octopus on your face.",0
“Trying to be happy by accumulating possessions is like trying to satisfy hunger by taping sandwiches all over your body.”,0
Let's play horse. I'll be the front end and you be yourself.,1
"If beauty was a drop of water, you'd be the Sahara Desert.",1
“We’ll be the old ladies causing trouble in the nursing homes.”,0
What do a vaccuum cleaner and an Iraqi Tank have in common? They both suck.,1
"God made rivers, God made lakes, God made you, Hell, everyone makes mistakes.",1
"Tom: ""Were you born on the highway?"" Jerry: ""Uh no, why?"" Tom: ""Because that's where most accidents happen.""",1
How can I keep a major nerd in suspense for 24 hours? I'll tell you tomorrow.,1
What do 32 Iraqi women in one place have? A full set of teeth!,1
"Some people are so happy to see you in the parade, so they have another reason to crap on it.",0
I heard that your brother was an only child.,1
"I'll never forget the first time we met, although I'll keep trying.",1
You know you are getting old when the smile beside your bedside isn't that same smile. It's your teeth in a jam jar,1
"You're lucky mirrors don't talk, or laugh for that matter.",1
Help the police - beat yourself up.,1
"You should be happy we're having turkey, rather than the turkey have us.",0
"To succeed in life, you need three things: a wishbone, a backbone and a funny bone.",0
"True, sometimes you’re an idiot. But don’t be sorry for who you are!",1
You do a great job combing your hair. It’s impressive how you’re able to hide the horns.,1
Why don't oysters give to charity? Cos they're shellfish.,0
"You're not the sharpest tool in the shed, are you?",1
Your tongue weighs practically nothing. So why can't you hold it?,1
How many tickles does it take to make an octopus laugh? Ten tickles.,0
Do you know what mathematicians do after it snows? They make snow angles!,0
Why does a bride always cry at the wedding? Because she never marries the best man.,0
I wonder what you are going to do for a face when the baboon wants its ass back.,1
Your Halloween costume came in the mail today. I opened it. It was a rooster mask and a bag of lollipops. Going as a cock sucker again!?,1
"Slit your wrists, it will lower your blood pressure.",1
"We heard that when you ran away from home, your folks sent you a note saying, ""Do not come home and all will be forgiven.""",1
"As I handed my Dad his 50th birthday card, he looked at me, with tears in his eyes and said, ""You know, one would have been enough.""",0
Did you hear which major department store is considering opening a couple of stores in Iraq? TARGET!,1
I bought my son a fridge for Christmas. – I can't wait to see his face light up when he opens it.,0
"Sure, I've seen people like you before, but I had to pay an admission fee.",1
How do you make your wife do anything for you? Answer: Take away her Credit Card,1
Did you hear about the two bald guys who put their heads together? They made an ass out of themselves!,1
- What do you call a herd of masturbating cattle? Beef Strokenoff,1
Why don't you crawl back into the hole you came from?,1
What you just said is one of the most insanely idiotic things I've ever heard. At no point were you even close to anything that could be considered a rational thought. Everyone in this room is now dumber for having listened to it.,1
What don’t atheists do well with exponents? Because they don’t believe in higher powers.,0
Save your breath. You'll need it to blow up your date.,1
What do you call an Iraqi with a sheep under each arm? A pimp.,1
"Kid 1: ""Hey, I bet you're still a virgin."" Kid 2: ""Yeah, I was a virgin until last night ."" Kid 1: ""As if."" Kid 2: ""Yeah, just ask your sister."" Kid 1: ""I don't have a sister."" Kid 2: ""You will in about nine months.""",1
"“The older you get, the better you get. Unless you’re a banana.”",0
- What do you get when you cross a Mexican with an Oriental? A car thief who can't drive,1
“Feel my shirt. Know what it’s made of? Boyfriend material.”,0
“Marriage: a friendship recognized by the police.”,0
"I'm not calling you a slut, I'm calling you a penny: two faced, worthless, and in everyone's pants.",1
"Do you want me to accept you as who you are, or do you want me to like you?",1
Your face looks like it caught on fire and somebody tried to put it out with a fork.,1
Sometimes your knight in shining armor is just a fool in tinfoil.,1
"A man went to the All Stars game with two front row seat tickets. He sat down and then another man asked him if the other chair was taken. The man said "" no, it was supposed to be for my wife."" The other man said "" well where is she? And he said ""she died two days ago"" from a stroke. The other man said ""well thats unfortunate, I'm so sorry for you. But should'nt you give this seat to another family members?"" And the man said, ""no they're all at the funeral""",1
Q: What did the scientist say when he found 2 isotopes of helium? A: HeHe,0
I know you're a self-made man. It's nice of you to take the blame!,1
"Answering Machine: ""Hi! I'm probably home. I'm just avoiding someone I don't like. Leave a message. If I don't call back, it's you.""",1
"Insult: If you were any dumber, your head would implode. Response: If you were a little bit more intelligent you'd still be stupid.",1
"Whatever you do in life, always give 100%. Unless you're donating blood...",0
Why couldn't the sesame seed leave the casino? Because he was on a roll.,0
"Wife: Hi mom, I am so happy to see you. How long will you be staying? Mother-in-Law: As long as you want me to… Wife: What! you wont even stay for coffee?",0
I'm reading a book on anti-gravity. It's impossible to put down!,0
"If the fortune has turned her back on you, you can do whatever you want behind her back.",0
"If sex were fast food, you'd have an arch over your head.",1
What is the best contraceptive for old people? Nudity.,1
"Two cannibals eating a clown, one turned to the other and said: ‘does this taste funny to you?’",0
I never forget a face! But in your case I'll make an exception!,1
"What’s the best thing about Switzerland? I don’t know, but the flag is a huge plus.",0
Q: What's the difference between Tom Cruise and a tuxedo? A: One comes out of the closet on special occasions and the other is a tuxedo.,1
If towels could tell jokes they would probably have a dry sense of humor.,0
"If you were any more dense, you'd have your own event horizon.",1
"I'd ask how old you are, but I don't think you can count that high.",1
"Tell me, as an outsider, what do you think of the human race?",1
"A Centurion walks into a pub and asks for a Martinus. “Don’t you mean a Martini?” says the barman. “No,” says the Centurion, “If I want a double I’ll ask for one.”",0
Why are frogs so happy? They eat whatever bugs them!,0
"They say that two heads are better than one. In your case, one would have been better than none.",1
"I will start watching it when it's called ""dancing off a cliff""",1
"A girl realized that she had grown hair between her legs. She got worried and asked her mom about that hair. Her mom calmly said, ""That part where the hair has grown is called your monkey. Be proud that your monkey has grown hair."" The girl smiled. At dinner, she told her sister, ""My monkey has grown hair."" Her sister smiled and said, ""That’s nothing; mine is already eating bananas.""",0
Q: Why did the witches' team lose the baseball game? A: Their bats flew away.,0
Want to hear an icebreaker? Fat penguin,0
What do you call a man with a car number plate on his head? Reg.,0
How did giraffes come to be? Chuck Norris uppercut a horse.,1
"“Never argue with stupid people, they will drag you down to their level and then beat you with experience.”",0
- Why does an elephant have 4 feet? Because 8 inches isn't enough,0
You seem to be suffering from delusions of adequacy.,1
You’re as useless as the “ueue” in “queue.”,1
You must have a low opinion of people if you think they're your equals.,1
"My grief counselor died. He was so good, I don’t even care.",1
My days of not taking you seriously have come to a middle.,1
"“Lots of people want to ride with you in the limo, but what you want is someone who will take the bus with you when the limo breaks down.”",0
"Why don't you slip into something more comfortable, like a coma.",1
I heard that you went to the haunted house and they offered you a job.,1
What do you call a bear with no teeth? A gummy bear!,0
"One day Jimmy got home early from school and his mom asked, ""Why are you home so early?"" He answered, ""Because I was the only one that answered a question in my class."" She said, ""Wow, my son is a genius. What was the question?"" Jimmy replied, ""The question was 'Who threw the trash can at the principal's head?'""",0
You should be in commercials for birth control.,1
All that you are you owe to your parents. Why don't you send them a penny and square the account?,1
"Mr. and Mrs. Brown had two sons. One was named Mind Your Own Business & the other was named Trouble. One day the two boys decided to play hide and seek. Trouble hid while Mind Your Own Business counted to one hundred. Mind Your Own Business began looking for his brother behind garbage cans and bushes. Then he started looking in and under cars until a police man approached him and asked, ""What are you doing?"" ""Playing a game,"" the boy replied. ""What is your name?"" the officer questioned. ""Mind Your Own Business."" Furious the policeman inquired, ""Are you looking for trouble?!"" The boy replied, ""Why, yes.""",0
"You call me your best friend, but where were you when my selfie only had four likes?",0
"Even people who are good for nothing have the capacity to bring a smile to your face, like when you push them down the stairs.",1
"Whose idea was it to put an ""S"" in the word ""lisp""?",0
What do you call a man with a car on his head? Jack.,0
"I'd love to go out with you, but my favorite commercial is on television.",1
"“If you were a chicken, you’d be impeccable.”",0
"A: I have the perfect son. B: Does he smoke? A: No, he doesn’t. B: Does he drink whiskey? A: No, he doesn’t. B: Does he ever come home late? A: No, he doesn’t. B: I guess you really do have the perfect son. How old is he? A: He will be six months old next Wednesday.",0
"Whatever kind of look you were aiming for, you missed.",1
"..and the Lord said unto John ""Come forth and receive eternal life"". But he came fifth and won a toaster.",0
Do you know why surgeons use masks? It is to be not recognised again.,1
"Roses are red. Your blood is too. You look like a monkey And belong in a zoo. Do not worry, I'll be there too. Not in the cage, But laughing at you.",1
Did you hear about the Aggies that were arrested in the Iranian zoo? They were trying to free the hostriches.,1
You don’t have to be crazy to be my friend. But it helps.,0
"You're so ugly, your husband takes you with him everywhere he goes, so he doesn't have to kiss you goodbye.",1
Have you heard about the new super sensitive condoms? They hang around after the man leaves and talk to the woman.,0
"A man asks a farmer near the field, ""Sorry sir, would you mind if I crossed your field instead of going around it? You see, I have to catch the 4:30 PM train."" The farmer says, ""Sure, go right ahead. And if my bull sees you, you'll even catch the 4 PM one.""",0
"A man enters a lawyer’s office and asks the lawyer: “Excuse me, how much do you charge?” The lawyer responds: “I charge $1,000 to answer three questions.” The man replies, “That’s a bit expensive isn’t it?” “Yes,” says the lawyer. “Now, what’s your third question?”",0
DID YOU HEAR FRANCE HAS A NEW NATIONAL FLAG? It is white with a white stripe and a white star!,1
"You're so ugly, you have to trick-or-treat over the phone.",1
"A mother said to her son, ""Look at that kid over there; he's not misbehaving."" The son replied, ""Maybe he has good parents then!""",0
"Money can't buy happiness, but it can help you look for it quicker, in a convertible.",0
Always follow your dreams. Except for that one where you're naked at work.,0
Why is santa always happy? He knows where all bad girls are living.,0
"When you die, you should have your brain donated to science. I hear they're trying to come up with the perfect vacuum.",1
“Any chance you have an extra heart? Mine’s been stolen!”,0
Your house is so small you have to eat a large pizza outside.,1
You've got the perfect weapon against muggers. Your face.,1
I have given up on my stand up comedy routines. Everybody just keeps laughing at me.,0
"A teacher asked her student “Why are you doing math on the floor?” The student answered, “You told us not to use any tables!”",0
Hurry up and die already so that I can piss in your grave.,1
I was thinking about how people seem to read the Bible a whole lot more as they get older; then it dawned on me – they’re cramming for their final exam,0
- How can you tell a Polish woman is on her period? She's only wearing 1 sock,1
"A family of four were having a dinner, everybody were bored, so the dad says"" lets play a game,"" what is something you lick but get really tempted to just eat,"" the the girl says ""a lollipop"" the dad says ""correct!"" now what do you put in your mouth but don't swallow and the boy is like ""DEEZ NUTS""",0
Someone said you are not fit to sleep with pigs. I stuck up for the pigs.,1
I want you to know that it is perfectly all right to have an unexpressed thought. In your case I even recommend it.,1
"When God was handing out brains, Jack must have been holding the door.",1
What do you call a girl standing between two goal posts? Annette.,0
“Great minds discuss ideas; average minds discuss events; small minds discuss people.”,0
"I believe in respect for the dead, in fact I could only respect you if you were dead.",1
"If you're going say something that stupid, you could at least fake a stroke.",1
"“It is more fun to talk with someone who doesn’t use long, difficult words but rather short, easy words like ‘What about lunch?'”",0
"If I ever need a brain transplant, I'd choose yours because I'd want a brain that had never been used.",1
I have a gravel path in my garden while my neighbour's is concrete. I think mine wins on aggregate.,0
The only thing he brought to this job was his car.,1
"You can tune a piano, but you can't tuna fish.",1
"If ugliness were bricks, you'd be the Great Wall of China!",1
Why can’t orphans play baseball? They don’t know where home is.,1
"You're so dumb, you think babies can be found in the infantry.",1
Q: Why did the fish blush? A: Because it saw the ocean's bottom.,0
The only positive thing about you is your HIV status.,1
You might be a redneck if you're related to everyone in your town.,1
"You remind me of the ocean, you make me sick.",1
Did you hear about the magic tractor? It turned into a field.,0
"Wife: ""In my dream, I saw you in a jewelry store and you bought me a diamond ring."" Husband: ""I had the same dream and I saw your dad paying the bill.""",0
Scientists are concerned the legalization of marijuana in Canada may result in an entire nation of overly friendly and polite people.,0
2 Thai birds asked me to join them for a threesome. It was just like winning the Lottery. We had 6 matching balls.,1
"A lady comes home from her doctor's appointment grinning from ear to ear. Her husband asks, ""Why are you so happy?"" The wife says, ""The doctor told me that for a forty-five year old woman, I have the breasts of a eighteen year old."" ""Oh yeah?"" quipped her husband, ""What did he say about your forty-five year old ass?"" She said, ""Your name never came up in the conversation.""",1
Anybody who told you to be yourself couldn't have given you worse advice.,1
Can I have the name of your hair salon? I need to know where not to go.,1
My parents divorced because my mother had an affair with a demolition man. Home wrecker!,1
"My Tinder bio says that I have a corner office with views of the entire city, drive a $500,000 vehicle, and that I'm paid to travel. My dates never seem too happy when I tell them I'm a bus driver.",0
"It is said that, you can't buy happiness. You only need to know the right places...",0
Why is it that the people with the smallest minds always have the biggest mouths?,1
"An employee is getting to know her new co-workers when the topic of her last job comes up. One co-worker asks why she left that job.” It was something my boss said,” the woman replied. “Why? What did he say?” the co-worker asked. “You’re fired.”",0
"Wife to husband: ""I'm pregnant!"" Husband: ""You're kidding me!""",0
"If you had friends like mine, you'd be the luckiest guy in the world!",0
Roses are red. Violets are blue. I have five fingers; The middle one's for you.,1
"I asked my wife what she wanted for Christmas. She told me ""Nothing would make her happier than a diamond necklace"" So I bought her nothing.",0
"A man and woman were having sex. After they were done, the man asks the woman, ""Are you a nurse?"" The woman answers, ""Yes. How did you know?"" The man replies, ""Because you took care of me so well."" Then the woman asks the man, ""Are you an anesthesiologist?"" He says proudly, ""Yes. How do you know?"" The woman answers, ""Because I didn't feel a thing.""",1
"It all makes sense. If pro is opposite of con, then the opposite of progress..",1
"A student asked his teacher how old she was. She promptly said, ""39 and holding."" Then the student asked, ""Well, then, how old would you be if you let go?""",1
I bet your parents regret not using birth control.,1
Did you hear about the Scottish Kamikaze pilot? He crashed his plane in his brother's junkyard.,1
You are a pathetic scumbag. Your parents were scum and you're doing a most glorious job of following the tradition.,1
How do you get a Florida State graduate off your front porch? Pay for the pizza.,1
How do we know that soccer referees are happy? Because they whistle while they work.,0
How did you get here? Did someone leave your cage open?,1
I'm already visualizing the duct tape over your mouth.,1
What's brown and sticky? A stick!,0
What do you call an Indian man which is on fire? Ima Singin.,1
What do you call a cow with no legs? Ground beef.,1
"Teacher: ""Can anyone name three Kings that brought happiness and peace to earth?"" Student: ""Drin-king, smo-king, and fuc-king!""",0
"A rejection letter from MENSA wouldn't be too much of a surprise for you now, would it?",1
You’re like a lighthouse in a desert: bright but not very useful.,1
"You should have been born in the Dark Ages, you look terrible in the light.",1
Good friends don’t let you do stupid things …alone.,0
How do you catch a squirrel? Climb a tree and act like a nut!,0
My boss told me to have a good day. So I went home.,0
What is worse than raining cats and dogs? Hailing taxis!,0
"He has one brain cell, and it is fighting for dominance.",1
Do you need a silencer to shoot a mime?,1
"I like you. People say I have no taste, but I like you.",1
"Girlfriend: ""Am I pretty or ugly?"" Boyfriend: ""You're both."" Girlfriend: ""What do you mean?"" Boyfriend: ""You're pretty ugly.""",1
"A boy asks his father, ""Dad, are bugs good to eat?"" ""That's disgusting. Don't talk about things like that over dinner,"" the dad replies. After dinner the father asks, ""Now, son, what did you want to ask me?"" ""Oh, nothing,"" the boy says. ""There was a bug in your soup, but now it’s gone.""",0
"A good friend can finish your sentences… a best friend will do the same, but make it sound 10 times dirtier",0
- How can you tell a Head nurse? The one with dirty knees,1
"If it's till death do us part, we are all single in heaven right?",0
You started at the bottom and it's been downhill ever since!,1
Are you aware that you're a pathetic freak? Or are you just completely oblivious to reality.,1
Behind every fat woman there is a beautiful woman. No seriously move! You're in the way!,1
What are you going to do for a face when the baboon calls and wants his ass back?,1
"He is so short, when it rains he is always the last one to know.",1
I'm glad to see you're not letting your education get in the way of your ignorance.,1
I have seen salad that dresses better than you,1
Why don't scientists trust atoms? Because they make up everything!,0
"A 3 years old boy sits near a pregnant woman. Boy: Why do you look so fat? Pregnant woman: I have a baby inside me. Boy: Is it a good baby? Pregnant woman: Yes, it is a very good baby. Boy: Then why did you eat it?!",0
I hear you were born on a farm. Any more in the litter?,1
"Whenever your ex says, ""You'll never find someone like me,"" the answer to that is, ""That's the point.""",1
"He has occassional flashes of silence, which makes his conversation perfectly delightful.",1
Don't be sad when a bird craps on your head. Be happy that dogs can't fly.,0
What is the opposite of progress? Congress.,1
The Mrs is just like Heather Mills. She only wears half the shoes she buys!,1
Did you hear about the claustrophobic astronaut? He just needed a little space.,0
People who say that their wedding day was the best day ever have obviously never had two Kit Kats fall out of a vending machine.,0
What's the difference between a Canadian Hockey player and an Iraqi woman? The Hockey player takes a shower after three periods.,1
"When Jack was born, his mother was charged for littering.",1
"At Comic Con, all I could think was how happy these people's moms must be to have the house to themselves for a few hours.",0
Life is good you know. So I suggest you get one.,0
"Hey, have you ever noticed what’s odd? Every other number!",0
Wanna be realy stoned? Drink wet cement.,1
"You're so stupid, you threw a rock at the ground and missed.",1
"I am truly sickened by the fact that due to some grand joke on someone else's part, I am forced to have to share oxygen with you.",1
“One good reason to only maintain a small circle of friends is that three out of four murders are committed by people who know the victim.”,0
"When you and your momma had an argument, it was a battle of the wits. Nit versus Dim. Then your dad joined, and it was Nit versus Dim verses Half.",1
“Friendship is being there when someone’s feeling low and not being afraid to kick them.”,0
Yo momma is so ugly she made my happy meal cry,1
"If I had a face like yours, I'd sue my parents!",1
Never follow anyone else’s path. Unless you’re in the woods and you’re lost and you see a path. Then by all means follow that path.,0
"A man tells his doctor, “Doc, help me. I’m addicted to Twitter!” The doctor replies, “Sorry, I don’t follow you …”",0
"Never trust a bald man. If his head looks like your ass, you know he's full of sh*t.",1
"A small piece of sodium that lived in a test tube fell in love with a Bunsen burner. “Oh Bunsen, my flame,” the sodium pined. “I melt whenever I see you,” The Bunsen burner replied, “It’s just a phase you’re going through.”",0
"With your last statement and current appearance, you have just answered the question, ""Did the white man ever f*ck the buffalo?""",1
"That isn't your forehead, it's your hair trying to run away from your face!",1
"I'm blonde, what's your excuse?",1
I'm very pleased with my new fridge magnet. So far I've got twelve fridges.,0
The English book asked the Math book why he was so sad. You know what he said? “Because I have so many problems!”,0
"A fat man goes into a fast food restaurant and orders his food. The cashier says that it will be a minute or two for his food. Finally his food is ready. The cashier hands the food to the fat guy and tells him, ""Sorry about your weight.""",1
"Listen, are you always this stupid or are you just making a special effort today?",1
"Borrow money from a pessimist, they don't expect it back.",0
Why did God give women vaginas? Because sheep can't cook.,1
"“It takes your enemy and your friend, working together, to hurt you to the heart: the one to slander you and the other to get the news to you.”",0
Keep talking. I always yawn when I'm interested.,1
"""Socrates died from an overdose of wedlock.""",1
You have a face made for radio.,1
"An old teacher asked her student, ""If I say, 'I am beautiful,' which tense is that?"" The student replied, ""It is obviously past.""",1
“I’m studying to become a historian. I’m especially interested in finding a date.”,0
My mate just lost his job at the pet shop. The boss caught him with his hand in the trill.,0
“Did your license get suspended for driving all these guys crazy?”,0
"My mom died when we couldn’t remember her blood type. As she died, she kept telling us to “be positive,” but it’s hard without her.",1
Did you hear about the cheese factory that exploded? There was nothing left but de-brie!,0
What do you call a cow with only three legs? Lean beef.,1
"A woman looks in the mirror and says ""I look fat"" and then asks her husband to give her a compliment. He says, ""Ok, you have perfect eye sight.""",1
"Two goldfish are in a tank. One looks at the other and says, “You know how to drive this thing?!”",0
You may have a sparsely attended funeral.,1
Q: Who is the poorest guy in the south? A: The Tooth Fairy.,1
Why did the circle get offended by the triangle? Because the triangle looked at the circle and said “You’re pointless!”,0
"“Wouldn’t it be great if we all grew up to be what we wanted to be? The world would be full of nurses, firemen, and ballerinas.”",0
"A husband says to his wife, ""You know, our son got his brain from me."" The wife replies, ""I think he did. I still got mine with me!""",1
"You have that far look in your eyes: the farther you are, the better you look.",1
"Girl: ""Girls are better than boys."" Boy: ""Then why did God make boys first?"" Girl: ""Duh, you have to have a rough draft before the final copy.""",1
"If you give him a penny for his thoughts, you get change back.",1
Why did the tomato turn red? Because it saw the salad dressing!,0
“Are you a loan? Because you sure have my interest!”,0
"I'm not saying you're stupid, but if brains were dynamite, you wouldn't have enough to blow your nose.",1
Is that your nose or are you eating a banana?,1
I'd like to see things from your point of view but I can't seem to get my head that far up my ass.,1
Why doesn't Mike Tyson play Playstation? He's an Xboxer.,0
Why did the scarecrow win an award? Because he was outstanding in his field!,0
"I was about to engage in some serious debate about what you just stated, but then I remembered that I dont give a damn.",1
Did you hear about the overly sensitive burglar? He was always taking things personally.,0
Now we.re making bad chemistry jokes because all the good ones Argon,0
What do you call a fish with no eyes? Fsh!,0
Why have elephants got big ears? Cos Noddy won't pay the ransom.,0
Why did the scarecrow become a successful motivational speaker? Because he was outstanding in his field!,0
"I hear you are very kind to animals, so please give that face back to the gorilla.",1
"When I see ads on TV with smiling, happy housewives using a new cleaning product, the only thing I want to buy are the meds they must be on.",0
"Man: I want to give myself to you. Woman: Sorry, I don't accept cheap gifts.",1
Friends buy you lunch. Best friends eat your lunch.,0
"“Both optimists and pessimists contribute to society. The optimist invents the aeroplane, the pessimist the parachute.”",0
You are as strong as an ox and almost as intelligent.,1
"Lawyer: ‘Now that you have been acquitted, will you tell me truly? Did you steal the car?’ Client: ‘After hearing you in court, I’m beginning to think I didn’t.’",0
Did you hear about the guy who invented Lifesavers? He made a mint!,0
"“Friendship is like peeing on yourself: everyone can see it, but only you get the warm feeling that it brings.”",0
What did the elephant say to the naked man? How do you breathe out of that thing,1
"A man is lying on the beach, wearing nothing but a cap over his crotch. A woman passing by remarks, ""If you were any sort of a gentleman, you would lift your hat to a lady."" He replies, ""If you were any sort of a sexy lady, the hat would lift by itself.""",1
Q: How do you leave a jackass in suspense? A: Don't know. I'll tell you tomorrow,1
How do you make a tissue dance? You put a little boogie in it!,0
I went to a bookstore and asked the saleswoman where the Self Help section was. She said if she told me it would defeat the purpose.,0
"When they were handing out brains, you thought they said trains and asked for a slow one.",1
You should do some soul-searching. Maybe you'll find one.,1
“Know what’s on the menu? Me ‘n’ u.”,0
"I like your approach, now let's see your departure.",1
"A lawyer said to a judge, “My client is trapped inside a penny.” The judge said, “What?” and the lawyer said, “He’s in a cent.”",0
If 4 out of 5 people SUFFER from diarrhea... does that mean that one enjoys it?,0
china...austraila..new zealand...south africa is fighting who has the best stuff china says they have the biggest wall austraila says they have the best grass new zealand says they have the best flag south africa says they have the springbuck ..he jumps over the wall ...shits on the grass...and wipes his ass with the flag,1
My tennis opponent was not happy with my serve. He kept returning it.,0
"My psychiatrist told me I was crazy, so I said, ""I want a second opinion."" He said, ""Okay, you're ugly too.""",1
"You're lucky to be born beautiful, unlike me, who was born to be a big liar.",1
"One day YouTube, Twitter, and Facebook will join together and be called: YouTwitFace",0
"An elderly couple are in church. The wife leans over and whispers to her husband, ""I just let out a long, silent fart. What should I do?"" The husband replies, ""First off, replace the batteries in your hearing aid!""",0
"The minus sign was talking to the positive sign. The minus sign asked, “Are you sure I make a difference?” and the other sign said “I’m positive!”",0
"“I can tell by your sarcastic undertones, rude comments, and sheer lack of common decency that we should be best friends.”",0
He is depriving a village somewhere of an idiot.,1
"HOW DO YOU CLEAR OUT AND IRAQI BINGO HALL? CALL OUT ""B-52"".",1
Nobody says that you are dumb. They just say you were 16 years old before you learned how to wave goodbye.,1
“I think we’ll be friends forever because we’re too lazy to find new friends.”,0
"You’re so skinny, you hula hoop with a Cheerio!",1
"He is dark and handsome. When it's dark, he's handsome.",1
"Did you hear they arrested the devil? Yeah, they got him on possession.",0
"When somebody calls you gay, say, ""I'm straighter than the pole your mom dances on.""",1
Q: Why are blonde jokes so short? A: So brunettes can remember them.,1
“Is your dad a boxer? Because you’re a knockout!”,0
- What's the difference between chicken and meat? If you beat your chicken it would die,1
“A good friend will always stab you in the front.”,0
